,Location,Name of Property,No of Baths,No of Beds,No of Guests,No of Reviews,No of bedrooms,Price,Reviews in Text,Stars
10,Springville,Travel themed room with a great view!,1,1,2,45,1,25,"['Russ and Ashley were amazing to stay with. They helped recommend areas in town to eat and the room was very comfortable. We will keep it in mind for future SLC trips.', 'Probably the best Airbnb we have stayed in thus far. Very nice house, extremely clean. Great host. Ashley recommended dinner at the Art City Trolley and it was amazing!', 'Kind, clean, and thoughtful! This place is HIGHLY recommended! Their child is well behaved and never made any noise or bothered us even once. Although they told us loud disruptions were a possibility, we found after a three day stay that it was more the exception than the rule! T…Read more', 'Nice play to stay in a quiet neighborhood and the hosts are really nice', 'Great place to stop and rest for a bit.  Ashley was very helpful and flexible with our arrangements.  Thanks!!', 'There is no tv in room, it is in the living room and must be requested ahead of time. \nWe loved the location, house and room were clean. The room was chilly so the host offered extra blankets.', ""I just needed a night away in a place with great ambiance and zero interruptions, and Ashley & Russ's place was perfect! They were wonderful hosts and the room was amazing :)""]",5
11,Provo,"Relax, Play, Rest, Live: Your Home Away from Home",1.5,4,6,18,2,35,"['All I have to say, home was simply amazing', 'We had a great stay! The home was very clean and easy to find! It was even kid friendly with books and toys that my daughter loved!', 'Amazing price. Clean, nicely decorated and in a nice to find location. Would stay again in a heartbeat!', 'We loved Angela’s home. Very well decorated and had all the supplies we could need. The kids had fun with the foosball table and I appreciated the upstairs laundry. Everything was clean and organized. We would love to stay again next time we’re in town.', 'Very clean, comfortable, enough space, accesible and relax.', 'This is a great place to stay.  Very clean, conveniently located, we had a great time we loved being so close to everything Provo and the surrounding area has to offer.  There is no TV for people who need that we were busy so we didn’t even really notice.  It is in a very quiet l…Read more', 'This place is such a lovely spot to stay in that’s so close to everything in the area. Within ten or fifteen minute drives we could visit hot springs, the beautiful Krishna Temple, waterfalls, and Utah Lake. But what also set it apart is how kind and welcoming Angela is, and how …Read more']",5
12,Provo,1920's Minimal Home – Close to Downtown,1,5,5,14,2,70,"['This home in Provo is darling! The location is perfect. The neighborhood was quiet and charming. This home was perfect for my husband, myself and two of our adult children. The kitchen and living areas were perfect for our needs. The hosts were great with communication and answer…Read more', 'Such an amazing place to stay! We loved it ', 'Well located, clean and charming.', 'We loved staying in this cute little house. The location was great and it was nice to be in a home after countless hotels. The one bathroom is small, but the house is so full of charm that it is easily overlooked. Our family would stay here again!', 'Beautifully designed home. Very accurately described. Owners are prompt at communicating and helping with anything you might need. ', 'Great place to stay for young families! Our family has four kids under eight years of age, and the abundance of fun toys and books kept them busy and happy. The kitchen was well stocked for family meals. The great decor made it feel upscale, yet it was still safe for my kids to p…Read more', 'This is a beautiful home in a residential neighborhood. Shops and restaurants are within walking distance or a very short drive away.  Sam was very responsive to my questions.  We enjoyed a lovely and comfortable stay.']",5
13,Mapleton,Spacious Private Bedroom and Living Space,1,1,2,5,1,35,"['Lovely private space with a  clean bathroom connected to the room.  The place was very clean and the bed was super comfortable. The neighborhood is very safe and quiet. \nBrooke and her husband were very friendly and kind. They met us when we first got there and they were very ple…Read more', 'Brooke’s is very spacious with beautiful views of the mountains. The room is private and comfortable.', 'Comfy and homey. We loved our stay.', ""We enjoyed our stay at Brooke's place. They were very nice and accommodating. It was nice to have more privacy in a spacious basement including a living room, a bedroom and a private bathroom. "", 'Brooke and husband were very nice and helpful.  This was each of ours first experience with Arbnb.  The location was just right for me.']",5
14,Spanish Fork,Cozy Spanish Fork Basement,1,2,3,0,1,20,[],4.5
15,Provo,Newly renovated private room near BYU campus,1,1,2,21,1,20,"['Simple, comfortable and a large bed', 'Great hospitality. Give you your own privacy and make sure you have a comfortable stay while you are there.', 'This was an ""economy"" room.  Nothing fancy.  The bed was comfortable.  It was a nice sized room with a large table, chair and dresser. The wi-fi worked great. A space heater was available to take off the chill in this basement room.  I liked the keypad entry for easy access.  The…Read more', 'No complaints! Great place, great price, very lowkey and private! Would stay here again!', 'Great place! Great price!', 'I would definitely stay here again. It was in a great location, Brennan responded quickly and they have the two cutest dogs I’ve ever seen! Loved this place.', 'Very friendly hosts and comfortable stay. Can’t beat the value anywhere else!']",5
16,Spanish Fork,Spacious country escape with modern luxuries!,1,8,13,56,3,70,"['Such a big space and for a great price. We would stay again in a heart beat!', 'We had a wonderful time in this home. Holli accommodated our whole family and we were able to have a fabulous time.', 'Thanks Holli!', 'So very helpful and everything was better than expected', 'Great, spacious spot!', 'Fantastic place to stay!  Very comfortable and  beautiful views!', 'Holli and her husband went above and beyond as AirBNB hosts! They accommodated a huge moving truck and 3 dogs! The place was so amazing and cozy. We would go out of our way to stay here again when passing through Utah. We would even want to make it a vacation trip in the future.']",5
17,Provo,Cute and Cozy.,1,1,2,36,1,17,"[""I had a lovely time.  Callie was the perfect hostess.  Everything was great.  The place was clean and comfortable.  Callie provided everything I needed - even things I didn't know I needed!  I would highly recommend."", 'This was a great value and well-situated in downtown Provo. Callie was a wonderful host and made sure I had everything I needed for my trip. I appreciated the snacks and drinks in my room and the bathroom amenities that were provided as well.', 'Callie was very kind and welcoming, a beautiful spirit. As one reviewer wrote, it was like staying at your favorite relative’s house. Her place was very clean. Excellent with all communication. I was very grateful for a comfy, cute, and cozy place for the evening. Will def stay h…Read more', 'Super awesome stay. This was my first time using AirBnB and it was a great experience. The hosts were very nice and their home was very welcoming. A convenient walk to BYU campus as well which was great.', 'Callie and her husband were awesome! Their house is clean and comfortable. They provide everything you need and even extras such as snacks! Do your self a favor and stay here when you visit Provo!', 'Absolutely phenomenal host and beautiful home, Callie goes above and beyond to make you comfortable and happy. I had an amazing stay and would love to stay there again, can’t recommend her beautiful Airbnb more highly.', ""It's a great place, handy location, very nice people. Just be aware the road outside is fairly busy. It was quite louder than I expected and I had a hard time sleeping. Just have some good earplugs.""]",5
18,Provo,Cozy Farmhouse Suite Near Downtown Provo,1,2,5,76,2,45,"[""Angela's place was great! Right around the corner from my childhood home and close to everything in Provo, including the freeway entrance with super easy access. It was clean and perfect for our family of give. Angela even made sure we had a nice cot for our extra person. We will…Read more"", '10 min drive from downtown Provo and campus. Not really walkable to anything, but a super great value for the money. Angela was super responsive and helpful.', 'Thanks Angela for great stay we truly enjoyed it and looking forward to when we come this way on our next trip. Awesome stay, great to have so many things to do that are so close, mall, movie theater, hiking and easy access to the I 15. And all the personal extras are a great tou…Read more', 'Angela was great at responding right away .... even came over to help us get on the internet\nLots of amenities like eggs and butter in the frig, popcorn and hot cocoa in the cupboard', ""Angela's place was the perfect get away while I was in town for school. They even shoveled me a path in the snow early one morning to get to my car! Great value and great host!"", 'Nice place', 'My friend and I had a wonderful stay at Angela’s place. The communication was great and her husband was also friendly. \n\nI loved that their unit is pet-friendly since I was traveling with my dog. The eggs and oatmeal were also very much appreciated!']",5
19,Provo,Newly renovated private room near BYU campus #2,1,1,2,13,1,18,"['Hands down the comfiest bed I have ever slept in (and for a woman who is 9 months pregnant and hasn’t been able to get comfy for weeks, that’s saying something). They also have the cutest pup ever. Brennan was great at communicating with us and made us feel very welcome. We defin…Read more', 'Comfortable, clean place with a location close to Center Street in Provo.', 'Beautiful Bathroom!!  Very nice couple.  Easy access to BYU!', 'Simple, clean, good value and very affordable.  Thank you to share your home!', 'Very clean renovation and kept clean. Easy access. Good location for Provo for access to the BYU campus or downtown. Cute puppy.', 'Brennan was great, super nice! Room was comfy, bathroom was nice and big. Space heater and extra blankets in room was much appreciated and his puppy was adorable!!', 'Brennan and Rachel were great hosts.  Their home was very clean.  The accessibility to their house with parking and location was great, along with having easy access with a door code.  I would recommend.', 'Thanks Andy! We really enjoyed having you\nGood luck with everything!']",5
20,Springville,Hobble Creek Basement Apartment,1,2,6,0,2,60,[],4.5
21,Provo,"A Perfect Suite in Provo, Close to BYU and I -15.",1,6,8,41,2,55,"['The space was nice, comfortable and quiet. Being from Arizona, we had trouble being warm enough in a basement space, but eventually we figured out a solution. The hosts were easy to deal with and helpful. Communication was fast and pleasant. Enjoy your stay!', 'Mariann and Jae give the word ""super host"" a whole new meaning - they are simply amazing in every way.  Kind, considerate, incredibly responsive, and just all-around beautiful people.  The apartment is spacious, quiet, and very comfortable.  We spent twelve happy days in this Air…Read more', 'Real convenient for those attending local woodturning classes (at Craft Supplies).', 'I really liked this place!  It’s homey and quiet and worked nicely for our situation.   It felt like we were staying at a nice, older,  relative’s house.  It had lots of amenities like washer and dryer in the apartment, room heater, big screen tv with all the channels, garage par…Read more', 'Very cute area! Just like it is described!Mariann and Jae were very quick to respond to anything needed! I am cold mostly all the time and we were able to use a space heater and they turned the temp up for us. It was so appreciated and cozy!', 'Space is large and quirky-fun. Mariann & Jae’s place is far enough from things to be peaceful, but close enough to be convenient. Hosts have excellent response time about concerns, and are friendly and accommodating. Definitely recommend.', 'Clean, private, so peaceful and quiet. Highly recommend!']",5
22,Provo,Cozy Comfort in the Heart of Provo,1,2,5,13,2,69,"['We had a wonderful stay. The house was so cozy and inviting. The house manual was very clear and check-in was a breeze! Super comfy beds, and everything we needed was very easy to find. We will be staying here again!', 'Amazing experience. This time I won’t give details because all details are top top top. Expect the best !!! Wonderful stay', 'We enjoyed our stay at Todd’s home. It is exactly as pictured! It was so clean and had everything we needed. The beds were so comfortable, I had a hard time wanting to get up in the morning. The location is close to main center street with the restaurants and fun things to do! I …Read more', 'We enjoyed our stay at Todd’s house very much! It was super clean, well decorated and close to everything downtown. Great hospitality and communication. We will definitely be back:)', 'This is a charming, clean and comfortable place to stay.  I love the cleanliness and stocked kitchen. My girls loved the little basket that had popcorn and hot chocolate.  What a fun surprise!   I would stay here again for sure.', 'Beautiful little 2 bedroom home.  It has been renovated very nicely.  We had a great time staying here.  Very clean!  My only concern was it was hard to heat with small wall heaters for heat.', ""Thank you so much for your comments.  We're glad you had a great time.  So sorry to hear of the experience you had with the heaters.  We typically keep the fireplace pilot light on for ease of use.  There are times it gets inadvertently turned off.  We provide detailed instructions in the House Manual for how to restart the the pilot light.  It is really a simple process.  We'll try and make those instructions even easier to find in the future.  \n\nAgain, thank you for your visit and your comments. "", 'We had a lovely time staying here. The beds were comfortable and the space immaculate. It was very comfortable and enjoyable.', 'Thank you for your comments Dawnmarie!  We appreciate your visit.']",5
23,Provo,"My Home, Your home. Mi casa, tu casa.",1,3,6,10,2,35,"['Just as described, easy, hassle free!!', 'Would recommend to anyone traveling to Utah', ""Adriana's place is great.  Just as advertised. You will have convenient off street parking and easy access to you private entrance.  The location is great is fro BYU, Seven Peaks or downtown Prove.  The house was very clean and comfortable.  We really enjoyed our stay."", ""Nice place. Pretty spacious considering the price. Very comfortable. The free Netflix was nice bonus to relax in the evenings (as was the big couch).\n\nThe only things I'll say to consider: 1) It is in a basement area and there is a family living above so you do hear some walking …Read more"", 'Cute place, nice host!', 'Adriana was incredibly accommodating, and responds quickly to any questions.  Her place is very comfortable and clean. We would definitely stay a second time!', 'Adrianna’s place was clean and worked well for us. It is a basement space which is common in those parts. Adrianna was sweet and courteous. Thank you.']",4.5
24,Provo,Provo Home in ideal location,1,2,4,14,1,32,"['Sean made checking in and out hassle-free, just brief instructions available on the app.  The location is close to BYU campus and yet a quiet neighborhood, just a few blocks from the busy student life. The apartment was cozy and well kept.  Kitchen is stocked for simple meal prep…Read more', 'This place was the perfect location for my class. Close to the Recreation Center yet far enough away I was able to see some of the beautiful city. I had some trouble with the door lock when I arrived, but Sean was quick to respond and help me. The kitchen was stocked pretty well …Read more', 'Absolutely great. Super comfy and cozy, perfect place to crash for a weekend.', 'This was a perfect place for weary travelers. Everything was seamless, and we appreciated it.', 'We had a great stay at Sean’s place in Provo. The space was really lovely and super stylish. Sean was very quick to respond to our messages and accommodate our requests. The basement was a little loud, but we were gone during the day mostly so it worked out alright. Very close to…Read more', 'Cute and convenient location that served our purposes well while we were in town for the BYU dance competition.', 'It was roomy smelled clean location was great. Would go back anytime']",5
25,Spanish Fork,Spacious country escape with modern luxuries!,1,8,13,56,3,70,"['Such a big space and for a great price. We would stay again in a heart beat!', 'We had a wonderful time in this home. Holli accommodated our whole family and we were able to have a fabulous time.', 'Thanks Holli!', 'So very helpful and everything was better than expected', 'Great, spacious spot!', 'Fantastic place to stay!  Very comfortable and  beautiful views!', 'Holli and her husband went above and beyond as AirBNB hosts! They accommodated a huge moving truck and 3 dogs! The place was so amazing and cozy. We would go out of our way to stay here again when passing through Utah. We would even want to make it a vacation trip in the future.']",5
26,Provo,Provo Guest Suite,1,6,8,16,1,59,"[""Wonderful place to stay. Perfect for our entire family. Plenty of space that we didn't feel crowded."", 'Great Airbnb with plenty of room for my husband and I and our 4 kids. We loved the fireplace, quiet neighborhood, and the TV was a nice touch. Host was quick to respond to any needs and even after we left (and left a few things accidentally) was so helpful. Will definitely stay a…Read more', 'This little guesthouse was super comfortable and clean. It works great for someone who is on the go and just needs a place to spend the night. There was a refrigerator and microwave but no kitchen. It worked out fine for us because we were on the go the whole time we stayed there…Read more', 'great place to stay because its so close to the freeway entrance to go anywhere in the valley , nice little parking space right in front of the house. very clean and comfortable. I stayed there for two weeks. \n\nthey are great owners and respond quickly \n\nthanks, \nCameron Boyer', 'This place is fantastic! Spacious and clean, great value!', 'Great stay in the apt. Loved the fireplace and large screen tv.  Already scheduled to come back to use the entire house.', 'Always an amazing stay!']",4.5
27,Orem,Spacious & Private Loft Bedroom,1.5,1,4,24,1,25,"['Excellent and sunny space. Very relaxing and inviting. I needed to get a lot of work done during my stay and so they were nice enough to set me up with a desk and a lot of peace and quiet. Lovely people, and a very convenient location.', 'A very nice room that was very peaceful. Thanks for sharing your home with me. :)', 'We enjoyed our stay at Kaysi’s home. It was clean, and so cute inside. The bed was comfortable and she and her husband gave us our space but also were friendly and welcoming. I would definitely stay with them again. They were great hosts.', 'Kaysi’s house was beautiful and exactly as pictured. The room was very private and it was a great place to re-charge. Kaysi was quick to communicate with us and very helpful. They have a beautiful dog which was a delight!', ""Kaysi's place was super cute and clean. It was very quiet and we could come in and out with ease."", ""Kaysi's place is perfect. It has everything you need. The bedroom is big enough. And the share areas were always clean. The communication with her was always easy. Definitely I will book again in kaysi's place."", 'Kaysi was a very accommodating hostess. The room was clean and bed was comfy. Extremely close to Provo and BYU. Kaysi made sure our first Airbnb experience was excellent! ']",5
28,Orem,Lovely home in the heart of Utah County,1,3,6,4,3,60,"['This is one of the nicest and best Airbnb’s I have stayed in, it was lovely and comfortable!', 'We loved it! Carly was so helpful and great, the space is beautiful and we will be back.', 'Plenty of room, Very Clean, Responsive Host. Good location.', 'My family had a nice stay at this well-appointed two-bedroom suite.  Carly was very prompt with communication and made the logistics quick and easy.']",5
29,Provo,Private Y Mountain Luxury Suite | Panoramic Views,1,2,2,15,1,65,"['Although it has a private entrance and felt private to me, it is a room in this gorgeous home and you do hear the kids but it was totally worth it. The space is gorgeous, the view-spectacular. There is coffee but no cream or sugar. There is nothing else provided, bottled water, e…Read more', '----', ""Daniels accommodations were very nice, clean and comfortable.  Made me feel right at home.  I highly recommend staying here when in the Provo UT area.  You'll love the view too."", 'WOW! - Gorgeous 180 Views. Amazing Sunsets. Very luxurious accommodations. This was rejuvenating lodging with all of the finest amenities possible readily available. This suite is attached by a single door to a home with 6 children, so the wonderful sounds of an active baby to te…Read more', 'Private entrance/room/bath. Wonderful view, great facillity. Super strongly recommend :)', 'This room was great and the bathroom and closet were fabulous! We loved the view as well. Slightly farther from attractions than expected but worth it if you have a car.', ""Staying at Daniel's place was definitely the best decision I made for my trip. The place is a dream, the view is amazing and everything is beautiful. Daniel's home is no doubt the best airbnb has in this area and Daniel is such a great guy. He made me feel at home. Thank you!""]",5
30,Provo,SPRING into Comfort With Large Kitchen,1.5,4,6,28,2,52,"['This Airbnb is top notch !!!  Tied for my favorite wirh one other, in fact!Beautiful apartment with everything you could possibly need !  \nVery generous and hospitable hosts!', 'Alan and Gale are such wonderful hosts! Their home is so comfortable and clean. They respond quickly and are very thoughtful and kind. They even give up their driveway!! So accommodating! We look forward to staying with them again.', ""Alan and Gale are wonderful hosts. The location is perfect for anyone visiting BYU. The apartment is clean, quiet, and met all our needs. We wouldn't hesitate to stay again."", 'This was our second stay at Gale and Alan’s place. Please see my previous review. \n\nOnce again, we loved our stay! They were so accommodating and wonderful to work with. We will definitely book again! Thank you Gale and Alan!', 'Alan and Gale’s apartment has everything you will need as a traveler.  They are very thoughtful and respond quickly.  Their home is walking distance to BYU.  It was perfect for me visiting my daughter and working remotely.  I hope to stay again in the future.', 'The place was amazing, they responded in time and I will recommend it because it’s the best', 'Great place, loved the location and amenities ']",5
31,Orem,Little Utah | Brand New Basement Suite,1,2,4,15,1,40,"[""The house is built on a hill so the 'basement' has beautiful sliding glass doors in the living room that let in awesome natural light. It does not have a basement feel at all! It was a pleasure to stay in such a clean, stylish, open space. Would absolutely recommend!"", ""Little Utah is adorable and perfect in every way. The best Air bnb I've stayed in yet! So stylish and cozy and clean. Thanks Natasha!"", 'My stay here was perfect, the space is gorgeous and has such a fun vibe to it not to mention the bed was super comfy and everything was very clean. Thank you guys!', 'Logan & Natasha were excellent hosts! They responded quickly to any messages & were so accommodating. They even shared some delicious homemade cookies with us! Would definitely recommend.', 'Little Utah was modern, clean, and perfect for our short stay! Natasha was quick to respond and very accommodating. We will definitely be back!', 'Logan and Natasha are great hosts, very friendly and accommodating. They were so helpful, I was new to the city looking for some nice places to live and they had some great insights and suggestions on places to check out. I stayed with them for a little over a month and it was gr…Read more', 'Little Utah is the perfect place to stay. The host was very informative and made us feel welcome. I would definitely stay there again next time visiting Orem, Utah.']",5
32,Provo,Large private bedroom south of BYU campus,1,1,2,19,1,23,"[""Awesome place. She responds on time. She isn't afraid to ask for questions. And Her dogs are so adorable"", 'Great', 'Check in was really easy; we loved the puppy greeting us as the door! The room was nice but a bit chilly because there’s a door to the outside in the room and the tv is at an odd angle to the bed. No chairs, or stands. Bathroom was further away than expected; you have to walk thr…Read more', 'Great stay, extremely clean and the hosts are very cool.', 'Rachel was a good host. she answered all my questions and tried to make the best use of the facilities. Unfortunately the street is narrow and there is a dearth of available parking. The room I was in has a large television but no local channels, just Netflix as far as I could fi…Read more', 'Great value', 'We really enjoyed staying here. It was clean. The bed was very comfortable and I loved how they had Netflix set up for air bnb to use right in the room. The hosts were friendly and kind. We were able to come in and out as we pleased with no hassle. This is a place that I would st…Read more']",4.5
33,Mapleton,Fully Furnished Charming Private Living Space,1,6,8,76,3,69,"['Beyond our expectations!  Clean, well decorated, by far better than a hotel.', 'The place was very clean and comfortable and we had a great stay. Everything was very easy and it seemed like Lindi had thought of everything we might need. I’d totally recommend staying here as long as you don’t need a kitchen.', ""Lindi's place was beautiful - inside and out - and had a spectacular view of the mountains, as well. I definitely would stay at Lindi's again, and would definitely recommend anyone to stay with her! She also had cookies out for my husband and I, as well as a nice handwritten card…Read more"", ""It's wonderful!"", 'Beautiful living space, great amenities and a great host.  I would not hesitate to book this space again', 'We absolutely LOVED this home and would recommend it to anyone! The host is fantastic, flexible, hospitable, and very easy to talk to. Will definitely stay again!', 'Lovely basement apartment and Lindi was very on top of communication.']",5
34,Provo,Cute & Close to Campus,2,2,4,41,2,59,"['It was great!', 'Beautiful home! Wonderful experience! We would stay here again.', 'Krista is a very considerate and warm host! We could not have asked for a more comfortable, immaculately clean and cute place to stay! She provided clear instructions on getting to her place and checking in/out was a breeze. She also provided a detailed binder with all the inform…Read more', 'Krista was great to work with. Her home is lovely and close to everything. We will definitely stay there again when we go back out to Provo.', 'Booking with Krista was easy. We had no problem checking in or out, and the home was clean, comfortable, and perfect for our needs. I would definitely book again.', ""This is the 3-4 time staying at Krista's place. She has a charming home and provides everything you could possibly need. It really feels like home"", 'A great comfy,  cozy pave to stay with a great host']",5
35,Provo,Legacy apartment suite in luxury home near BYU.,1,2,5,3,2,70,"['This was a really nice place to stay. Even better than it looks online.', 'Vince is an excellent host! We really enjoyed our stay! The view is beautiful!', 'Quiet, clean and very nice place in a great location. Excellent host who provides all the needed amenities!']",5
